Time,SumPopulation,HerbPopulation,CarnPopulation,OmniPopulation,FPS
815,56,56,0,0,55
816,57,57,0,0,55
817,57,57,0,0,38
818,58,58,0,0,58
819,56,56,0,0,58
820,56,56,0,0,55
821,56,56,0,0,56
822,56,56,0,0,58
823,57,57,0,0,55
824,57,57,0,0,52
825,57,57,0,0,57
826,58,58,0,0,55
827,57,57,0,0,54
828,57,57,0,0,30
829,57,57,0,0,60
830,57,57,0,0,48
831,56,56,0,0,55
832,56,56,0,0,50
833,57,57,0,0,56
834,56,56,0,0,56
835,54,54,0,0,53
836,54,54,0,0,55
837,54,54,0,0,60
838,55,55,0,0,57
839,55,55,0,0,58
840,54,54,0,0,64
841,54,54,0,0,60
842,54,54,0,0,56
843,54,54,0,0,55
844,53,53,0,0,57
845,53,53,0,0,58
846,53,53,0,0,58
847,54,54,0,0,53
848,55,55,0,0,57
849,55,55,0,0,59
850,58,58,0,0,39
851,59,59,0,0,49
852,59,59,0,0,50
853,59,59,0,0,54
854,60,60,0,0,17
855,60,60,0,0,55
856,60,60,0,0,57
857,60,60,0,0,54
858,60,60,0,0,51
859,59,59,0,0,49
860,59,59,0,0,52
861,59,59,0,0,57
862,59,59,0,0,55
863,58,58,0,0,62
864,58,58,0,0,61
865,58,58,0,0,54
866,58,58,0,0,56
867,58,58,0,0,53
868,58,58,0,0,51
869,57,57,0,0,35
870,57,57,0,0,43
871,58,58,0,0,49
872,59,59,0,0,56
873,60,60,0,0,32
874,60,60,0,0,54
875,60,60,0,0,60
876,61,61,0,0,59
877,62,62,0,0,56
878,60,60,0,0,56
879,60,60,0,0,55
880,60,60,0,0,59
881,60,60,0,0,58
882,60,60,0,0,59
883,60,60,0,0,53
884,60,60,0,0,58
885,59,59,0,0,63
886,59,59,0,0,56
887,59,59,0,0,60
888,58,58,0,0,63
889,57,57,0,0,61
890,56,56,0,0,50
891,55,55,0,0,56
892,54,54,0,0,65
893,53,53,0,0,66
894,53,53,0,0,62
895,53,53,0,0,60
896,54,54,0,0,60
897,56,56,0,0,60
898,58,58,0,0,57
899,58,58,0,0,65
900,57,57,0,0,59
901,57,57,0,0,63
902,57,57,0,0,65
903,56,56,0,0,61
904,56,56,0,0,59
905,56,56,0,0,60
906,56,56,0,0,61
907,57,57,0,0,63
908,57,57,0,0,59
909,57,57,0,0,65
910,58,58,0,0,51
911,58,58,0,0,59
912,59,59,0,0,58
913,60,60,0,0,63
914,58,58,0,0,49
